euclidean centroid cell to district hospital;euclidean centroid cell to any health facility;eulidean centroid cell to kigali;euclidean centroid cell to main road;euclidean centroid cell to any road;Sum_ROAD_Length;SUM ROAD LENGTH PER AREA
7747,775682;6376,164845;50142,12797;1153,389711;241,981308;7274,063759;0,001738
14984,22393;5812,308196;52110,37677;194,211236;194,211236;12870,78841;0,002254
17767,9798;6387,803399;53450,27528;1573,478128;60,387413;8420,43377;0,001462
20471,026;6130,26791;48200,29952;1454,018716;650,51169;9422,865049;0,001034
18724,3695;6190,361857;51863,78493;424,810483;424,810483;13125,56771;0,002025
15966,45615;5118,327285;42306,51007;233,493537;233,493537;5406,787188;0,000908
10345,64161;998,208216;44116,58264;960,23874;960,23874;3448,721011;0,000353
10074,98293;2622,880443;44393,71026;1817,779993;429,700189;1596,969691;0,00026
7753,03437;3993,728556;49817,42213;1351,408855;428,414367;14426,27898;0,001421
7633,938381;3134,060005;49334,16767;2540,981752;91,630924;18314,45253;0,002356
10563,96419;2929,79833;52080,03258;513,426505;513,426505;10209,94817;0,001191
6666,47264;1310,757193;47233,55762;4167,60893;241,882264;10198,1635;0,001244
8235,978061;3969,686036;51642,79911;5372,330944;291,891949;15857,6103;0,002182
9331,222489;3436,627006;49546,55923;6838,858118;201,159801;9964,322828;0,001356
14692,77147;2732,766045;49095,15648;5038,340353;62,874691;9844,551778;0,001546
13839,60794;3271,769827;46837,06641;5595,046939;714,837975;12178,3878;0,001276
13009,66091;2596,116895;40619,83175;862,927247;862,927247;11039,77207;0,001024
15203,42611;3171,855681;38330,83656;1811,505886;66,799596;8407,419484;0,001258
11509,87841;632,895052;44969,88004;3124,194045;235,320915;7479,162501;0,000909
27318,0225;5738,35883;38183,19892;1075,490801;146,18512;5706,274183;0,000831
22444,85452;5173,396619;40224,6898;758,021768;758,021768;8148,292339;0,000885
27238,46913;3546,246913;40253,5345;1794,608647;34,448241;20224,43027;0,002022
21553,49564;2710,914326;42076,71373;3215,051075;554,638707;15239,12885;0,001246
23584,92595;3207,370642;44137,87131;3297,413579;54,547736;12051,39423;0,001232
14945,31232;7340,655824;43860,41004;749,395407;398,485895;12019,26034;0,001316
13527,5074;4773,813967;55216,98283;917,364589;79,583159;7613,675006;0,001656
19095,81707;5951,274445;56828,23326;1123,969492;256,51558;6614,090337;0,001432
10931,74311;3095,379442;57414,87176;1717,994242;110,845056;3223,631964;0,000935
14224,6737;6047,529017;56638,35621;3854,298153;202,549828;8745,155886;0,001635
20473,0842;955,103136;55165,69535;3640,24642;29,022123;10729,44737;0,001747
24009,30903;4377,861777;32125,66462;8708,119629;556,542962;10982,34907;0,001025
18266,49718;3860,492111;30495,54427;5263,940329;458,910705;12397,62938;0,000735
23923,8511;7038,188299;32828,45685;2204,564595;214,513268;14484,66547;0,000857
22467,43884;8013,964627;33012,64777;5828,737593;8,904575;10077,33474;0,000911
8380,910907;5442,787136;47603,50889;3518,998289;1646,229214;3417,418797;0,000383
8273,173258;5078,832205;51539,03559;2293,465614;340,09817;4204,861339;0,000661
7837,919987;2995,253365;51824,69413;6203,352919;202,179459;3938,215441;0,001277
10110,85578;1452,237229;49942,57003;3807,675438;15,352311;6503,594165;0,001155
18302,62237;8165,1388;52168,68571;4451,3854;23,034412;4755,500048;0,001057
14900,20776;3620,297277;53794,14387;5847,149312;103,482523;10557,02756;0,001918
12733,88416;3465,102065;49606,71396;6394,027905;550,439459;7230,1509;0,001717
11125,22687;4548,866335;50316,28477;3873,623429;0,975165;9232,860457;0,001557
13290,63976;1882,793048;46775,40963;3318,117298;835,51596;9013,427391;0,001234
13485,16364;4813,584197;45957,59346;1256,839113;268,609844;5975,161756;0,000779
14807,12527;4318,411979;49167,15275;4515,372811;193,800716;5383,60723;0,000963
15071,37665;1606,370152;47770,07194;1651,259414;84,920167;15147,97805;0,002381
13504,62973;3948,148693;28340,63927;4855,715184;33,414689;5322,014556;0,000471
5233,737975;4111,350576;28199,9065;2753,291086;64,734164;10576,60966;0,001154
7345,396514;4476,651417;25308,12793;2115,016074;494,579123;10243,34663;0,001262
6756,27971;4720,548914;40379,74834;1284,963417;126,511229;10583,42761;0,001151
8120,353525;3929,469818;38663,82127;1557,237531;109,8045;5701,029536;0,00049
7500,569932;3603,630372;42141,51703;5436,094275;26,756626;15377,06056;0,001203
10046,11264;5027,616394;36646,91496;377,622908;377,622908;11524,29557;0,001671
6339,747271;3990,022166;40427,45802;4285,560811;377,836746;11833,75046;0,001178
6433,263442;4062,694145;37938,81207;1273,146822;122,535569;14291,1519;0,001632
3702,973682;3702,973682;32217,17973;618,252592;228,842501;6499,082854;0,000543
3374,352405;3374,352405;29068,93972;1214,185511;1088,030871;4773,558573;0,000836
4694,59272;3174,255935;31081,13201;852,768361;41,723322;7830,54474;0,001483
5554,950789;5554,950789;26890,67603;256,202607;108,607473;9622,399316;0,001265
4850,616782;3763,506382;27878,43391;648,567214;39,748858;15145,28382;0,001521
2255,979058;2255,979058;24805,71953;1097,180355;703,432543;21347,24343;0,001599
2808,972531;2808,972531;50399,37594;7299,592865;67,121948;21319,67678;0,001322
4528,457464;4528,457464;54978,26162;9299,097335;329,126125;18658,17019;0,00124
1498,015799;1498,015799;58287,23708;7411,373304;196,471613;15714,15669;0,00101
1099,566078;1032,312933;43044,32749;4283,5366;1015,761692;6387,951378;0,000622
3196,989417;3150,353649;35829,26619;176,986407;176,986407;8552,903125;0,001126
6755,023697;4592,476726;40149,30646;2951,623186;154,051465;6053,979163;0,000765
14479,57652;903,077702;38474,31384;1068,526047;334,087346;9286,3687;0,001188
12303,91957;1958,791579;41587,8848;1526,99509;586,038998;5880,965047;0,000575
15576,25238;3621,410723;37703,88576;1849,541539;71,381065;7857,582355;0,001084
17210,44155;3637,201559;53693,02789;1042,799367;246,290043;3410,77894;0,000826
14756,08304;3253,468409;51945,91892;726,291301;149,020931;235,826729;0,000153
11840,87107;3244,119652;57164,92044;420,050607;420,050607;5944,682215;0,001462
9393,271302;2682,979733;55798,31113;613,73367;567,263179;7278,606556;0,001902
10885,50971;1015,011755;52964,5644;529,90906;529,90906;5510,272026;0,002075
15129,75806;4917,281177;39918,96277;808,833484;388,963893;8636,838024;0,00195
9153,898382;4484,05742;41798,73136;1634,207616;675,913556;4839,558164;0,001178
4543,993548;4476,32948;42341,25758;413,979241;413,979241;6116,088435;0,001449
4701,427128;4625,335211;39924,97552;316,087567;316,087567;6752,76015;0,001249
8999,185937;4951,451387;41900,89242;1693,122701;94,511809;9148,783418;0,001924
7685,736647;2061,185815;39716,76903;1136,716222;414,917482;7539,787737;0,001681
3312,627516;2746,716039;42726,66812;660,393434;253,50994;4366,228505;0,001007
8647,662206;2899,142448;33579,9527;1189,584506;106,845503;4568,489002;0,001125
8781,393563;3965,055828;35200,47707;96,941894;96,941894;15153,21567;0,002063
5593,845929;2188,514291;32928,36172;472,073637;472,073637;7401,790256;0,001138
3892,785209;3556,167696;36282,28699;853,657638;70,155441;4961,34411;0,001517
5775,626286;496,91432;29782,65312;1112,290871;75,259771;1406,442517;0,000214
